tier,summonerId,summonerName,leaguePoints,wins,losses,puuid
CHALLENGER,wUfCtAZsY0vnuvE5RLTGDbd-ER8rk3dTjMyRs45YekYTAvm1-0im07FaLQ,Shadow FA 03,983,208,162,GbOvYiI25MbKdSuVwzISD6n23P2uLkJJFqg_FzCrhBfPMeibvAuOg9TpPBd_yv4-GVs54863ST0B8w
CHALLENGER,rsnI5zsyQKcrxwfCHnn0QPSDIbgfVbZW2ZyTHkqld6upC9Dt4j7VNnNteA,탑안옴힘들어해요,1005,174,98,0
CHALLENGER,U9r2MmDR1fY7i1L3oB__Uhm57U-nEaI4aQupzwHAgMFQeSA,berserkerrr,1195,637,559,C9jT6ZI3F37-7q7HSPI03SU8OyZMbPaXdYYHE39i49tZ_qSjzshN71uTmNt02Y4jtT8jk2Roo0nzzA
CHALLENGER,1w15FM7-EXTRZa6kmf2mYGLLR3A_vd9beNxUodyOtVzIVH6fO0gi_Lw77w,hunzi2,1018,457,362,QOTAZeIOkMDknmOfsBtPZ6WSMXiC1RCHEJDcfaFNHs4xv2a8L62gLyzgTEchczRBujGDKtUTwb-pTw
CHALLENGER,9EqqIbJhnA3EupvNvM_oeVJNjn-Vys677doeQePllK5lRzqwYU8svHtHCw,qweiowqeo,878,349,292,AixkB709nIVG4rVQ-yjU6V-BIF-0vfHH_xyUmGGZgUfCd7muQ_gYerTQuF5K0HZpxpzC3XsqG-uGbg
CHALLENGER,8yBhcuOAHmfpWeEAI0FaniXTiw_8z_ojQd7O5LrX2L8lm0I,용호야,1092,331,276,j8f6YDptJF__JvMhh1RsGv1FKJXYNrrZU1PMOGn7cARwn65xTssFywiZoW-qjERMjEu1lGrUjK62zA
CHALLENGER,mV9NDL15oOr9X0O9c9MrDV3OwyLBh3Lj2jzcs-Cysak0Ig,엔 햐,945,244,183,mqjXhFhixkwA2BRWOUgO_xc8LhNxw4ZEfzroITeYmTKKzs2H2-3vUYZgdgrBpfCL8uuBa5men5cTMw
CHALLENGER,hZ5d4bNKyhH8pZ2xBp8qlooD9ExeTVYJkrSXlK_h7hASzB0,쭌 베,1091,1173,1104,JmcLMG8eKKzX-JWqpFTrX_0SvaRrUiqSwRDntNacyGZI8Imyxe54pUl9jOtGRzUt0fzTVItj0gm1Cg
CHALLENGER,bM3ZgPrPQ96KBGcg7P-o7WVLM5NSA2BC25ig-2KYS0AqUULrikIYe287lw,qwrihwqijkq,1474,201,120,BuSHG_nyu8uHivVk06jOyEcn0Fn25hLhOoa5gQbP-V2OtvlkmYYuadFHPDnIQhGJFlkSPPhb2_tlAw
CHALLENGER,ZyoAUZHen_kkBd1TB0vl7S5ba3VfZMoRCNoy9sS25GUFIEQ,LSB Winter,956,1144,1078,zy79l8f8bXm9-M_W_yD6RYKriH9_PpK1LUkfRG97pQC8KFPYjMFYBem0ofJtz263wsSclOYYjmMNYQ
CHALLENGER,6qbXuPEmVS-wm3gRJOMqp-1naJF6OG-ijHucigDOTELR9iA,zxckas0dk,1289,640,561,ubFVm-b8MGwQuvo1y1Ke3m5NtEtSt8xSHSDnGRd7OqV3vEzthI5UqGOFE012-qs49RioU_W3RgSYIQ
